
This hub-height turbulence-parameter file was generated by TurbSim (from OpenFAST-v3.5.3) on 04-Jan-2025 at 17:25:25.

   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
 357.50    8.184    8.187    8.187   -0.215    0.040   -0.916   -0.215    0.040   -0.036    0.197   -0.009    0.443    0.100
 358.00    8.056    8.056    8.056    0.049   -0.011   -1.044    0.049   -0.011    0.012   -0.051   -0.001    0.546    0.026
 358.50    8.261    8.262    8.263   -0.151   -0.130   -0.839   -0.151   -0.130    0.109    0.127    0.020    0.372    0.084
 359.00    8.374    8.382    8.382   -0.367    0.011   -0.726   -0.367    0.011   -0.008    0.266   -0.004    0.331    0.133
 359.50    8.683    8.689    8.689   -0.336    0.030   -0.417   -0.336    0.030   -0.013    0.140   -0.010    0.144    0.071
 360.00    8.730    8.731    8.731   -0.167   -0.056   -0.370   -0.167   -0.056    0.021    0.062    0.009    0.084    0.033
 360.50    8.746    8.747    8.747    0.111   -0.002   -0.354    0.111   -0.002    0.001   -0.039   -0.000    0.069    0.020
 361.00    8.862    8.865    8.865    0.256   -0.003   -0.238    0.256   -0.003    0.001   -0.061   -0.001    0.061    0.030
 361.50    9.028    9.029    9.029    0.138   -0.010   -0.072    0.138   -0.010    0.001   -0.010   -0.001    0.012    0.005
 362.00    8.723    8.723    8.724    0.040    0.136   -0.377    0.040    0.136   -0.051   -0.015    0.006    0.081    0.027
 362.50    8.720    8.720    8.721    0.096    0.126   -0.380    0.096    0.126   -0.048   -0.037    0.012    0.085    0.031
 363.00    8.701    8.703    8.703    0.188   -0.028   -0.399    0.188   -0.028    0.011   -0.075   -0.005    0.098    0.038
 363.50    8.919    8.921    8.922    0.215    0.123   -0.181    0.215    0.123   -0.022   -0.039    0.026    0.047    0.026
 364.00    8.917    8.917    8.918    0.075    0.067   -0.183    0.075    0.067   -0.012   -0.014    0.005    0.022    0.010
 364.50    8.936    8.936    8.937    0.085   -0.077   -0.164    0.085   -0.077    0.013   -0.014   -0.007    0.020    0.010
 365.00    8.697    8.697    8.698   -0.125   -0.127   -0.403   -0.125   -0.127    0.051    0.051    0.016    0.097    0.037
 365.50    8.661    8.661    8.666   -0.034   -0.286   -0.439   -0.034   -0.286    0.125    0.015    0.010    0.138    0.063
 366.00    8.952    8.953    8.956    0.139   -0.242   -0.148    0.139   -0.242    0.036   -0.021   -0.034    0.050    0.027
 366.50    8.769    8.770    8.771   -0.162    0.077   -0.331   -0.162    0.077   -0.026    0.054   -0.013    0.071    0.030
 367.00    8.778    8.778    8.778   -0.041   -0.071   -0.322   -0.041   -0.071    0.023    0.013    0.003    0.055    0.013
 367.50    8.903    8.906    8.907   -0.213   -0.170   -0.197   -0.213   -0.170    0.033    0.042    0.036    0.057    0.032
 368.00    9.099    9.109    9.109   -0.428   -0.090   -0.001   -0.428   -0.090    0.000    0.001    0.038    0.096    0.019
 368.50    8.916    8.930    8.933   -0.506   -0.220   -0.184   -0.506   -0.220    0.040    0.093    0.111    0.169    0.075
 369.00    8.794    8.803    8.804   -0.403   -0.105   -0.306   -0.403   -0.105    0.032    0.123    0.042    0.134    0.067
 369.50    8.845    8.851    8.852   -0.313   -0.134   -0.255   -0.313   -0.134    0.034    0.080    0.042    0.091    0.048
 370.00    8.608    8.612    8.612   -0.259   -0.066   -0.492   -0.259   -0.066    0.032    0.128    0.017    0.157    0.066
 370.50    8.662    8.664    8.665   -0.165   -0.186   -0.438   -0.165   -0.186    0.081    0.072    0.031    0.127    0.057
 371.00    8.778    8.779    8.788   -0.164   -0.396   -0.322   -0.164   -0.396    0.128    0.053    0.065    0.144    0.076
 371.50    8.794    8.794    8.801   -0.086   -0.355   -0.306   -0.086   -0.355    0.109    0.026    0.030    0.114    0.058
 372.00    8.731    8.732    8.735   -0.157   -0.228   -0.369   -0.157   -0.228    0.084    0.058    0.036    0.106    0.054
 372.50    8.884    8.886    8.890   -0.208   -0.252   -0.216   -0.208   -0.252    0.054    0.045    0.052    0.077    0.044
 373.00    8.894    8.896    8.898   -0.200   -0.171   -0.206   -0.200   -0.171    0.035    0.041    0.034    0.056    0.032
 373.50    8.932    8.933    8.935   -0.126   -0.213   -0.168   -0.126   -0.213    0.036    0.021    0.027    0.045    0.025
 374.00    8.962    8.963    8.965   -0.148   -0.179   -0.138   -0.148   -0.179    0.025    0.020    0.026    0.036    0.021
 374.50    8.989    8.990    8.991   -0.150   -0.123   -0.111   -0.150   -0.123    0.014    0.017    0.018    0.025    0.014
 375.00    9.130    9.130    9.131   -0.033   -0.144    0.030   -0.033   -0.144   -0.004   -0.001    0.005    0.011    0.003
 375.50    8.973    8.974    8.975   -0.141   -0.150   -0.127   -0.141   -0.150    0.019    0.018    0.021    0.029    0.017
 376.00    9.026    9.030    9.039   -0.298   -0.404   -0.074   -0.298   -0.404    0.030    0.022    0.120    0.129    0.063
 376.50    9.326    9.329    9.336   -0.263   -0.367    0.226   -0.263   -0.367   -0.083   -0.059    0.097    0.127    0.070
 377.00    9.165    9.166    9.166   -0.085   -0.120    0.065   -0.085   -0.120   -0.008   -0.006    0.010    0.013    0.007
 377.50    8.882    8.883    8.883    0.066   -0.073   -0.218    0.066   -0.073    0.016   -0.014   -0.005    0.029    0.011
 378.00    8.858    8.860    8.868    0.195   -0.371   -0.242    0.195   -0.371    0.090   -0.047   -0.072    0.117    0.062
 378.50    8.854    8.860    8.860    0.328   -0.007   -0.246    0.328   -0.007    0.002   -0.081   -0.002    0.084    0.040
 379.00    8.892    8.896    8.898    0.251   -0.200   -0.208    0.251   -0.200    0.042   -0.052   -0.050    0.073    0.042
 379.50    8.694    8.704    8.707    0.408   -0.249   -0.406    0.408   -0.249    0.101   -0.165   -0.102    0.196    0.109
 380.00    8.968    8.975    8.975    0.360   -0.007   -0.132    0.360   -0.007    0.001   -0.048   -0.003    0.074    0.024
 380.50    8.855    8.858    8.858    0.217    0.035   -0.245    0.217    0.035   -0.008   -0.053    0.008    0.054    0.027
 381.00    8.851    8.852    8.853    0.131   -0.131   -0.249    0.131   -0.131    0.033   -0.033   -0.017    0.048    0.025
 381.50    8.610    8.610    8.612   -0.006   -0.180   -0.490   -0.006   -0.180    0.088    0.003    0.001    0.136    0.044
 382.00    8.700    8.701    8.701    0.052   -0.113   -0.400    0.052   -0.113    0.045   -0.021   -0.006    0.088    0.025
 382.50    8.733    8.739    8.741   -0.302   -0.204   -0.367   -0.302   -0.204    0.075    0.111    0.062    0.134    0.074
 383.00    8.711    8.711    8.712   -0.106   -0.115   -0.389   -0.106   -0.115    0.045    0.041    0.012    0.088    0.031
 383.50    8.657    8.658    8.658   -0.060    0.076   -0.443   -0.060    0.076   -0.034    0.027   -0.005    0.103    0.022
 384.00    8.704    8.705    8.705   -0.119    0.030   -0.396   -0.119    0.030   -0.012    0.047   -0.004    0.086    0.024
 384.50    8.679    8.682    8.682    0.244   -0.004   -0.421    0.244   -0.004    0.002   -0.103   -0.001    0.118    0.051
 385.00    8.963    8.970    8.970    0.363   -0.001   -0.137    0.363   -0.001    0.000   -0.050   -0.000    0.075    0.025
 385.50    8.914    8.922    8.923    0.377   -0.139   -0.186    0.377   -0.139    0.026   -0.070   -0.052    0.098    0.046
 386.00    9.032    9.036    9.040    0.258   -0.275   -0.068    0.258   -0.275    0.019   -0.017   -0.071    0.073    0.038
 386.50    8.901    8.902    8.903    0.152   -0.093   -0.199    0.152   -0.093    0.019   -0.030   -0.014    0.036    0.019
 387.00    8.764    8.766    8.767    0.202    0.103   -0.336    0.202    0.103   -0.035   -0.068    0.021    0.082    0.039
 387.50    8.480    8.491    8.491    0.434   -0.081   -0.620    0.434   -0.081    0.050   -0.269   -0.035    0.290    0.138
 388.00    8.491    8.511    8.512    0.585   -0.156   -0.609    0.585   -0.156    0.095   -0.356   -0.092    0.369    0.190
 388.50    8.566    8.594    8.595    0.696   -0.130   -0.534    0.696   -0.130    0.070   -0.372   -0.091    0.393    0.194
 389.00    8.750    8.786    8.786    0.796    0.003   -0.350    0.796    0.003   -0.001   -0.279    0.002    0.378    0.139
 389.50    8.710    8.754    8.755    0.882    0.120   -0.390    0.882    0.120   -0.047   -0.344    0.106    0.472    0.182
 390.00    8.623    8.674    8.675    0.938    0.125   -0.477    0.938    0.125   -0.060   -0.447    0.118    0.561    0.233
 390.50    8.683    8.743    8.745    1.023    0.193   -0.417    1.023    0.193   -0.080   -0.427    0.197    0.629    0.239
 391.00    8.596    8.631    8.633    0.783    0.149   -0.504    0.783    0.149   -0.075   -0.395    0.117    0.445    0.209
 391.50    8.520    8.542    8.544    0.618   -0.163   -0.580    0.618   -0.163    0.095   -0.359   -0.101    0.373    0.192
 392.00    8.667    8.691    8.692    0.641   -0.140   -0.433    0.641   -0.140    0.061   -0.277   -0.090    0.308    0.149
 392.50    8.763    8.782    8.785    0.577   -0.208   -0.337    0.577   -0.208    0.070   -0.194   -0.120    0.245    0.119
 393.00    8.964    8.999    9.002    0.793   -0.222   -0.136    0.793   -0.222    0.030   -0.108   -0.176    0.349    0.104
 393.50    8.829    8.864    8.864    0.791   -0.031   -0.271    0.791   -0.031    0.008   -0.214   -0.025    0.350    0.108
 394.00    9.003    9.029    9.030    0.694    0.072   -0.097    0.694    0.072   -0.007   -0.067    0.050    0.248    0.042
 394.50    8.996    9.025    9.026    0.732    0.137   -0.104    0.732    0.137   -0.014   -0.076    0.100    0.283    0.063
 395.00    8.960    8.996    8.997    0.809    0.128   -0.140    0.809    0.128   -0.018   -0.114    0.104    0.345    0.077
 395.50    8.902    8.929    8.929    0.697    0.005   -0.198    0.697    0.005   -0.001   -0.138    0.003    0.262    0.069
 396.00    8.794    8.829    8.829    0.789   -0.002   -0.306    0.789   -0.002    0.001   -0.242   -0.002    0.358    0.121
 396.50    8.782    8.805    8.808    0.644    0.225   -0.318    0.644    0.225   -0.071   -0.205    0.145    0.283    0.130
 397.00    8.626    8.647    8.649    0.600    0.167   -0.474    0.600    0.167   -0.079   -0.284    0.100    0.306    0.156
 397.50    8.634    8.673    8.674    0.829    0.115   -0.466    0.829    0.115   -0.054   -0.387    0.095    0.459    0.201
 398.00    8.658    8.692    8.692    0.761    0.114   -0.442    0.761    0.114   -0.050   -0.336    0.086    0.394    0.175
 398.50    8.724    8.752    8.754    0.705   -0.168   -0.376    0.705   -0.168    0.063   -0.265   -0.118    0.334    0.149
 399.00    8.850    8.891    8.894    0.854   -0.245   -0.250    0.854   -0.245    0.061   -0.214   -0.209    0.426    0.153
 399.50    9.012    9.039    9.041    0.698   -0.210   -0.088    0.698   -0.210    0.018   -0.061   -0.146    0.269    0.080
 400.00    8.926    8.943    8.945    0.555   -0.192   -0.174    0.555   -0.192    0.033   -0.097   -0.107    0.187    0.074
 400.50    8.800    8.819    8.819    0.586    0.084   -0.300    0.586    0.084   -0.025   -0.176    0.049    0.220    0.092
 401.00    8.598    8.605    8.605    0.341   -0.110   -0.502    0.341   -0.110    0.055   -0.171   -0.037    0.190    0.092
 401.50    8.628    8.631    8.632    0.252   -0.054   -0.472    0.252   -0.054    0.026   -0.119   -0.014    0.145    0.061
 402.00    8.490    8.496    8.498    0.321    0.208   -0.610    0.321    0.208   -0.127   -0.196    0.067    0.259    0.121
 402.50    8.457    8.460    8.462    0.227    0.199   -0.643    0.227    0.199   -0.128   -0.146    0.045    0.252    0.100
 403.00    8.573    8.573    8.575   -0.018   -0.178   -0.527   -0.018   -0.178    0.094    0.010    0.003    0.155    0.047
 403.50    8.422    8.422    8.423   -0.017   -0.072   -0.678   -0.017   -0.072    0.049    0.012    0.001    0.232    0.025
 404.00    8.182    8.184    8.187   -0.179   -0.237   -0.918   -0.179   -0.237    0.218    0.164    0.042    0.466    0.138
 404.50    8.303    8.307    8.309   -0.241   -0.188   -0.797   -0.241   -0.188    0.150    0.192    0.045    0.364    0.124
 405.00    8.251    8.256    8.257   -0.295   -0.084   -0.849   -0.295   -0.084    0.071    0.251    0.025    0.407    0.131
 405.50    8.409    8.411    8.412   -0.150   -0.174   -0.691   -0.150   -0.174    0.120    0.104    0.026    0.265    0.080
 406.00    8.201    8.201    8.204   -0.030   -0.226   -0.899   -0.030   -0.226    0.203    0.027    0.007    0.430    0.102
 406.50    8.117    8.122    8.123   -0.288   -0.102   -0.983   -0.288   -0.102    0.100    0.283    0.029    0.530    0.151
 407.00    8.334    8.337    8.340   -0.217   -0.246   -0.766   -0.217   -0.246    0.188    0.166    0.053    0.347    0.128
 407.50    8.408    8.414    8.422   -0.322   -0.349   -0.692   -0.322   -0.349    0.241    0.223    0.112    0.352    0.173
 408.00    8.477    8.478    8.480   -0.120   -0.202   -0.623   -0.120   -0.202    0.126    0.075    0.024    0.222    0.074
 408.50    8.632    8.633    8.633   -0.103   -0.028   -0.468   -0.103   -0.028    0.013    0.048    0.003    0.115    0.025
 409.00    8.539    8.540    8.542   -0.162   -0.155   -0.561   -0.162   -0.155    0.087    0.091    0.025    0.183    0.064
 409.50    8.413    8.413    8.415   -0.011   -0.167   -0.687   -0.011   -0.167    0.115    0.007    0.002    0.250    0.057
 410.00    8.580    8.580    8.580    0.105   -0.009   -0.520    0.105   -0.009    0.005   -0.055   -0.001    0.141    0.027
 410.50    8.610    8.610    8.611    0.098   -0.144   -0.490    0.098   -0.144    0.070   -0.048   -0.014    0.135    0.043
 411.00    8.447    8.454    8.455    0.338   -0.134   -0.653    0.338   -0.134    0.088   -0.221   -0.045    0.279    0.121
 411.50    8.423    8.424    8.425    0.160   -0.111   -0.677    0.160   -0.111    0.075   -0.109   -0.018    0.248    0.067
 412.00    8.492    8.493    8.493    0.107   -0.039   -0.608    0.107   -0.039    0.024   -0.065   -0.004    0.191    0.035
 412.50    8.525    8.526    8.526    0.063   -0.039   -0.575    0.063   -0.039    0.023   -0.036   -0.002    0.168    0.021
 413.00    8.734    8.739    8.739    0.287    0.006   -0.366    0.287    0.006   -0.002   -0.105    0.002    0.108    0.052
 413.50    8.749    8.757    8.757    0.383    0.030   -0.351    0.383    0.030   -0.011   -0.134    0.012    0.135    0.068
 414.00    8.937    8.949    8.949    0.466    0.060   -0.163    0.466    0.060   -0.010   -0.076    0.028    0.124    0.041
 414.50    9.176    9.188    9.188    0.475   -0.070    0.076    0.475   -0.070   -0.005    0.036   -0.033    0.118    0.025
 415.00    9.382    9.396    9.398    0.511   -0.150    0.282    0.511   -0.150   -0.042    0.144   -0.077    0.182    0.084
 415.50    9.200    9.206    9.209    0.330   -0.221    0.100    0.330   -0.221   -0.022    0.033   -0.073    0.084    0.042
 416.00    8.931    8.945    8.945    0.497   -0.055   -0.169    0.497   -0.055    0.009   -0.084   -0.027    0.139    0.044
 416.50    8.876    8.894    8.894    0.571   -0.077   -0.224    0.571   -0.077    0.017   -0.128   -0.044    0.191    0.068
 417.00    8.893    8.893    8.893    0.100   -0.015   -0.207    0.100   -0.015    0.003   -0.021   -0.002    0.027    0.010
 417.50    8.866    8.869    8.870    0.244    0.102   -0.234    0.244    0.102   -0.024   -0.057    0.025    0.062    0.033
 418.00    8.944    8.958    8.959    0.506   -0.133   -0.156    0.506   -0.133    0.021   -0.079   -0.067    0.149    0.053
 418.50    9.012    9.017    9.018    0.311   -0.143   -0.088    0.311   -0.143    0.013   -0.028   -0.044    0.063    0.027
 419.00    9.137    9.143    9.143    0.335   -0.038    0.037    0.335   -0.038   -0.001    0.012   -0.013    0.058    0.009
 419.50    9.101    9.113    9.114    0.475   -0.145    0.001    0.475   -0.145   -0.000    0.000   -0.069    0.123    0.034
 420.00    9.024    9.038    9.039    0.500   -0.130   -0.076    0.500   -0.130    0.010   -0.038   -0.065    0.136    0.038
 420.50    8.923    8.930    8.932    0.351   -0.187   -0.177    0.351   -0.187    0.033   -0.062   -0.066    0.095    0.048
 421.00    9.205    9.210    9.210    0.301   -0.032    0.105    0.301   -0.032   -0.003    0.032   -0.009    0.051    0.017
 421.50    9.035    9.048    9.048    0.489    0.049   -0.065    0.489    0.049   -0.003   -0.032    0.024    0.123    0.020
 422.00    9.000    9.006    9.007    0.331   -0.116   -0.100    0.331   -0.116    0.012   -0.033   -0.038    0.066    0.026
 422.50    8.877    8.877    8.877    0.092    0.007   -0.223    0.092    0.007   -0.002   -0.021    0.001    0.029    0.010
 423.00    8.861    8.863    8.863    0.167    0.029   -0.239    0.167    0.029   -0.007   -0.040    0.005    0.043    0.020
 423.50    8.683    8.683    8.683   -0.074    0.070   -0.417   -0.074    0.070   -0.029    0.031   -0.005    0.092    0.021
 424.00    8.545    8.545    8.545    0.064    0.069   -0.555    0.064    0.069   -0.038   -0.035    0.004    0.159    0.026
 424.50    8.517    8.517    8.518   -0.092   -0.069   -0.583   -0.092   -0.069    0.040    0.053    0.006    0.177    0.034
 425.00    8.423    8.426    8.426   -0.208   -0.031   -0.677   -0.208   -0.031    0.021    0.141    0.006    0.251    0.071
 425.50    8.525    8.533    8.533   -0.358   -0.088   -0.575   -0.358   -0.088    0.051    0.206    0.032    0.233    0.107
 426.00    8.901    8.907    8.908   -0.329   -0.131   -0.199   -0.329   -0.131    0.026    0.065    0.043    0.083    0.041
 426.50    8.888    8.896    8.896   -0.360   -0.013   -0.212   -0.360   -0.013    0.003    0.076    0.005    0.087    0.038
 427.00    9.002    9.004    9.005   -0.206   -0.134   -0.098   -0.206   -0.134    0.013    0.020    0.028    0.035    0.018
 427.50    8.816    8.819    8.820   -0.213   -0.113   -0.284   -0.213   -0.113    0.032    0.060    0.024    0.069    0.036
 428.00    8.532    8.532    8.539   -0.094   -0.333   -0.568   -0.094   -0.333    0.189    0.054    0.031    0.221    0.100
 428.50    8.585    8.586    8.587   -0.124   -0.141   -0.515   -0.124   -0.141    0.073    0.064    0.018    0.150    0.049
 429.00    8.551    8.551    8.552   -0.052   -0.155   -0.549   -0.052   -0.155    0.085    0.028    0.008    0.164    0.045
 429.50    8.614    8.614    8.614   -0.064   -0.015   -0.486   -0.064   -0.015    0.007    0.031    0.001    0.120    0.016
 430.00    8.586    8.593    8.596   -0.332   -0.227   -0.514   -0.332   -0.227    0.116    0.171    0.075    0.213    0.110
 430.50    8.725    8.725    8.728   -0.063   -0.242   -0.375   -0.063   -0.242    0.091    0.024    0.015    0.102    0.048
 431.00    9.004    9.004    9.010   -0.014   -0.310   -0.096   -0.014   -0.310    0.030    0.001    0.004    0.053    0.015
 431.50    8.928    8.929    8.931   -0.132   -0.181   -0.172   -0.132   -0.181    0.031    0.023    0.024    0.040    0.023
 432.00    8.842    8.843    8.843    0.028   -0.122   -0.258    0.028   -0.122    0.031   -0.007   -0.003    0.041    0.016
 432.50    8.857    8.858    8.874    0.097   -0.538   -0.243    0.097   -0.538    0.131   -0.023   -0.052    0.179    0.071
 433.00    8.920    8.921    8.935   -0.116   -0.512   -0.180   -0.116   -0.512    0.092    0.021    0.059    0.154    0.056
 433.50    8.685    8.689    8.697   -0.259   -0.360   -0.415   -0.259   -0.360    0.149    0.107    0.093    0.184    0.103
 434.00    8.256    8.263    8.264   -0.331   -0.107   -0.844   -0.331   -0.107    0.090    0.279    0.035    0.416    0.148
 434.50    8.386    8.387    8.387   -0.051    0.002   -0.714   -0.051    0.002   -0.002    0.036   -0.000    0.256    0.018
 435.00    8.622    8.625    8.625   -0.221    0.090   -0.478   -0.221    0.090   -0.043    0.106   -0.020    0.143    0.058
 435.50    8.521    8.521    8.522   -0.118    0.045   -0.579   -0.118    0.045   -0.026    0.068   -0.005    0.176    0.037
 436.00    8.580    8.580    8.583   -0.082    0.222   -0.520   -0.082    0.222   -0.115    0.043   -0.018    0.163    0.062
 436.50    8.677    8.677    8.678    0.013    0.155   -0.423    0.013    0.155   -0.066   -0.006    0.002    0.102    0.033
 437.00    8.797    8.798    8.798    0.133   -0.014   -0.303    0.133   -0.014    0.004   -0.040   -0.002    0.055    0.020
 437.50    8.998    8.998    8.998   -0.065    0.042   -0.102   -0.065    0.042   -0.004    0.007   -0.003    0.008    0.004
 438.00    8.968    8.968    8.970    0.064    0.186   -0.132    0.064    0.186   -0.025   -0.008    0.012    0.028    0.014
 438.50    9.036    9.037    9.037    0.098    0.087   -0.064    0.098    0.087   -0.006   -0.006    0.008    0.011    0.006
 439.00    9.135    9.136    9.146    0.106    0.431    0.035    0.106    0.431    0.015    0.004    0.046    0.099    0.024
 439.50    9.112    9.112    9.121    0.054    0.416    0.012    0.054    0.416    0.005    0.001    0.023    0.088    0.012
 440.00    9.142    9.142    9.149    0.049    0.367    0.041    0.049    0.367    0.015    0.002    0.018    0.069    0.012
 440.50    9.171    9.171    9.182   -0.020    0.436    0.071   -0.020    0.436    0.031   -0.001   -0.009    0.098    0.016
 441.00    9.357    9.359    9.373   -0.205    0.503    0.257   -0.205    0.503    0.129   -0.053   -0.103    0.181    0.087
 441.50    9.133    9.137    9.151   -0.253    0.515    0.033   -0.253    0.515    0.017   -0.008   -0.130    0.165    0.066
 442.00    9.141    9.143    9.159   -0.192    0.536    0.041   -0.192    0.536    0.022   -0.008   -0.103    0.163    0.053
 442.50    9.043    9.045    9.048   -0.195    0.229   -0.057   -0.195    0.229   -0.013    0.011   -0.045    0.047    0.024
 443.00    9.199    9.213    9.214   -0.507    0.109    0.099   -0.507    0.109    0.011   -0.050   -0.055    0.139    0.038
 443.50    9.687    9.699    9.700   -0.473    0.148    0.587   -0.473    0.148    0.087   -0.278   -0.070    0.295    0.150
 444.00    9.611    9.613    9.613   -0.187    0.019    0.511   -0.187    0.019    0.010   -0.096   -0.004    0.148    0.048
 444.50    9.358    9.359    9.359   -0.084    0.081    0.258   -0.084    0.081    0.021   -0.022   -0.007    0.040    0.015
 445.00    9.289    9.293    9.295   -0.257    0.203    0.189   -0.257    0.203    0.038   -0.049   -0.052    0.072    0.041
 445.50    9.202    9.205    9.205   -0.233    0.009    0.102   -0.233    0.009    0.001   -0.024   -0.002    0.032    0.012
 446.00    9.358    9.359    9.359   -0.163    0.008    0.258   -0.163    0.008    0.002   -0.042   -0.001    0.047    0.021
 446.50    9.477    9.480    9.482   -0.245   -0.158    0.377   -0.245   -0.158   -0.060   -0.092    0.039    0.114    0.058
 447.00    9.461    9.469    9.471   -0.392   -0.206    0.361   -0.392   -0.206   -0.074   -0.141    0.081    0.163    0.090
 447.50    9.271    9.276    9.280   -0.317   -0.256    0.171   -0.317   -0.256   -0.044   -0.054    0.081    0.098    0.054
 448.00    9.089    9.097    9.102   -0.379   -0.295   -0.011   -0.379   -0.295    0.003    0.004    0.112    0.115    0.056
 448.50    9.182    9.196    9.196   -0.502   -0.041    0.082   -0.502   -0.041   -0.003   -0.041    0.021    0.130    0.023
 449.00    9.155    9.157    9.157   -0.193    0.074    0.055   -0.193    0.074    0.004   -0.011   -0.014    0.023    0.009
 449.50    9.076    9.077    9.077    0.139    0.038   -0.024    0.139    0.038   -0.001   -0.003    0.005    0.011    0.003
 450.00    9.113    9.117    9.119    0.259    0.217    0.013    0.259    0.217    0.003    0.003    0.056    0.057    0.028
 450.50    8.964    8.966    8.966    0.193    0.064   -0.136    0.193    0.064   -0.009   -0.026    0.012    0.030    0.015
 451.00    9.173    9.175    9.175    0.215   -0.010    0.073    0.215   -0.010   -0.001    0.016   -0.002    0.026    0.008
 451.50    9.277    9.277    9.278    0.012   -0.170    0.177    0.012   -0.170   -0.030    0.002   -0.002    0.030    0.015
 452.00    9.296    9.296    9.298   -0.012   -0.186    0.196   -0.012   -0.186   -0.036   -0.002    0.002    0.036    0.018
 452.50    9.065    9.068    9.071   -0.231   -0.250   -0.035   -0.231   -0.250    0.009    0.008    0.058    0.059    0.029
 453.00    9.283    9.284    9.287   -0.178   -0.228    0.183   -0.178   -0.228   -0.042   -0.032    0.041    0.058    0.033
 453.50    9.279    9.280    9.281    0.134   -0.097    0.179    0.134   -0.097   -0.017    0.024   -0.013    0.030    0.016
 454.00    9.072    9.072    9.072    0.083    0.073   -0.028    0.083    0.073   -0.002   -0.002    0.006    0.007    0.003
 454.50    9.285    9.285    9.288   -0.131   -0.203    0.185   -0.131   -0.203   -0.038   -0.024    0.027    0.046    0.026
 455.00    9.353    9.353    9.359   -0.066   -0.336    0.253   -0.066   -0.336   -0.085   -0.017    0.022    0.090    0.045
 455.50    9.178    9.179    9.183   -0.178   -0.252    0.078   -0.178   -0.252   -0.020   -0.014    0.045    0.051    0.025
 456.00    9.248    9.250    9.251   -0.177   -0.102    0.148   -0.177   -0.102   -0.015   -0.026    0.018    0.032    0.018
 456.50    9.178    9.179    9.179   -0.060   -0.121    0.078   -0.060   -0.121   -0.010   -0.005    0.007    0.012    0.006
 457.00    9.240    9.240    9.241   -0.115    0.056    0.140   -0.115    0.056    0.008   -0.016   -0.006    0.018    0.010
 457.50    9.298    9.298    9.298    0.076    0.061    0.198    0.076    0.061    0.012    0.015    0.005    0.024    0.010
 458.00    9.218    9.218    9.219   -0.105   -0.141    0.118   -0.105   -0.141   -0.017   -0.012    0.015    0.022    0.013
 458.50    9.175    9.178    9.178   -0.196    0.117    0.075   -0.196    0.117    0.009   -0.015   -0.023    0.029    0.014
 459.00    9.522    9.522    9.526    0.014    0.254    0.422    0.014    0.254    0.107    0.006    0.003    0.122    0.054
 459.50    9.760    9.760    9.761   -0.004    0.152    0.660   -0.004    0.152    0.100   -0.003   -0.001    0.229    0.050
 460.00    9.458    9.461    9.461    0.239    0.062    0.358    0.239    0.062    0.022    0.086    0.015    0.095    0.045
 460.50    9.514    9.518    9.519    0.260    0.176    0.414    0.260    0.176    0.073    0.108    0.046    0.135    0.069
 461.00    9.398    9.404    9.406    0.334   -0.189    0.298    0.334   -0.189   -0.056    0.099   -0.063    0.118    0.065
 461.50    9.421    9.424    9.427    0.228   -0.225    0.321    0.228   -0.225   -0.072    0.073   -0.051    0.103    0.057
 462.00    9.405    9.405    9.407    0.041   -0.170    0.305    0.041   -0.170   -0.052    0.013   -0.007    0.062    0.027
 462.50    9.512    9.512    9.514    0.109   -0.182    0.412    0.109   -0.182   -0.075    0.045   -0.020    0.107    0.045
 463.00    9.576    9.578    9.579    0.201   -0.161    0.476    0.201   -0.161   -0.077    0.095   -0.032    0.146    0.063
 463.50    9.296    9.296    9.303    0.056   -0.360    0.196    0.056   -0.360   -0.071    0.011   -0.020    0.086    0.037
 464.00    9.502    9.509    9.518    0.353   -0.407    0.402    0.353   -0.407   -0.164    0.142   -0.144    0.226    0.130
 464.50    9.287    9.287    9.292    0.013   -0.291    0.187    0.013   -0.291   -0.055    0.002   -0.004    0.060    0.027
 465.00    9.237    9.242    9.246    0.300   -0.246    0.137    0.300   -0.246   -0.034    0.041   -0.074    0.085    0.046
 465.50    8.901    8.910    8.912    0.402   -0.200   -0.199    0.402   -0.200    0.040   -0.080   -0.080    0.121    0.060
 466.00    9.031    9.048    9.048    0.557    0.054   -0.069    0.557    0.054   -0.004   -0.039    0.030    0.159    0.025
 466.50    8.977    8.989    8.989    0.462    0.019   -0.123    0.462    0.019   -0.002   -0.057    0.009    0.114    0.029
 467.00    8.983    9.007    9.007    0.657    0.010   -0.117    0.657    0.010   -0.001   -0.077    0.006    0.223    0.039
 467.50    9.111    9.134    9.135    0.643    0.154    0.011    0.643    0.154    0.002    0.007    0.099    0.219    0.050
 468.00    9.050    9.067    9.068    0.555    0.121   -0.050    0.555    0.121   -0.006   -0.028    0.067    0.162    0.036
 468.50    9.005    9.031    9.032    0.683    0.106   -0.095    0.683    0.106   -0.010   -0.065    0.073    0.243    0.049
 469.00    9.022    9.043    9.046    0.615    0.236   -0.078    0.615    0.236   -0.018   -0.048    0.145    0.220    0.077
 469.50    9.073    9.088    9.097    0.516    0.414   -0.027    0.516    0.414   -0.011   -0.014    0.213    0.219    0.107
 470.00    9.271    9.293    9.294    0.646    0.094    0.171    0.646    0.094    0.016    0.110    0.061    0.227    0.063
