	Windspeed	STDeV	Leq_x	Leq_y	Leq_res
0	15.0	1.0	49764.577931237785	81748.59106626193	65985.42301510324
2	15.0	1.5	50340.00408375184	77510.5332972124	68930.3259348828
6	15.0	2.5	53568.02694045332	81853.06135760451	73676.04143794026
1	15.0	1.25	49245.00494863065	69036.94825212259	62911.35573169019
5	15.0	2.25	52874.97202350667	84268.66946093967	71237.66290391228
4	15.0	2.0	50334.4269266996	69006.64320261548	62644.1324293312
3	15.0	1.75	50930.721512914744	59879.36324696926	60996.88229078095
13	15.1	2.5	52119.98711768235	83907.07033994801	60197.168740602494
11	15.1	2.0	51422.14426422029	57378.29264066351	60702.43646502244
8	15.1	1.25	49864.36578624111	60404.822245103205	62444.779460540456
7	15.1	1.0	49401.154214938186	71869.76077432024	65421.02419384867
12	15.1	2.25	50897.10888350023	78545.41944289656	65277.228476284814
9	15.1	1.5	49959.33134685151	72926.92756414681	59626.155511155
10	15.1	1.75	50408.41949426812	70560.09649443156	61757.464727292696
16	15.2	1.5	49908.79697180943	73974.103432791	62871.39369493843
15	15.2	1.25	49852.074537458466	77475.26100839592	65435.99286198094
14	15.2	1.0	49520.72995842527	84013.04454897773	68243.6316667467
19	15.2	2.25	51311.68445044403	83735.03744797054	65193.314065990766
20	15.2	2.5	52927.996412131935	107680.95534090723	83172.29366125377
17	15.2	1.75	49487.473076788614	69107.61292296366	57437.941322514125
18	15.2	2.0	51616.27490685555	83830.38219169543	67489.69678544882
22	15.3	1.25	49524.95016935049	72595.36909162441	64065.96947297534
24	15.3	1.75	50160.96834075118	72881.71922874125	67891.13035177541
26	15.3	2.25	51224.51163030065	79155.67318681897	76716.17534078818
23	15.3	1.5	49917.76692178787	74592.71967777684	65069.37258590792
25	15.3	2.0	50626.192679427506	74314.07066330446	66604.30631650423
27	15.3	2.5	53693.021890919255	99945.4107937125	76011.58395699231
21	15.3	1.0	48808.15595670793	71090.66062978763	66532.88352722641
31	15.4	1.75	50048.034368209395	71352.37055018346	65946.27267686356
32	15.4	2.0	50769.73699613172	67874.21586966477	60736.14172713919
33	15.4	2.25	51384.10212732694	83864.38344113139	67140.78563440476
34	15.4	2.5	52334.91952171387	81983.15072711441	70946.16036935268
28	15.4	1.0	48948.03102981257	60337.01398441504	61696.98886472441
30	15.4	1.5	51084.360967772554	96082.17710899602	74560.35706423601
29	15.4	1.25	49521.23023941004	68791.6132077783	62702.86580893761
41	15.5	2.5	51868.70582574631	104806.74675713333	74517.49201068624
40	15.5	2.25	51955.48034774754	68946.71075106232	63373.613986908254
39	15.5	2.0	50452.44251363964	78261.33077315569	66854.91470478485
38	15.5	1.75	51095.27799564446	66173.91104386198	64005.334938713015
36	15.5	1.25	49458.400529331266	75264.97508190678	64941.54587819481
35	15.5	1.0	50363.6518191134	79016.3852807708	67717.04948533763
37	15.5	1.5	49590.278306248605	73485.63998147847	61796.515942386985
44	15.6	1.5	49955.342211931915	75606.28468448034	57829.08158376462
43	15.6	1.25	49367.46994793905	63191.38961916004	57701.491336970845
46	15.6	2.0	50461.54835784029	60205.039373938846	53618.88975108432
47	15.6	2.25	51414.98821812534	68403.51172486349	66039.05000416367
45	15.6	1.75	52094.489168019	80501.4249145937	66592.8964621616
42	15.6	1.0	49077.40712080425	72326.77019689203	63794.963362202485
48	15.6	2.5	53459.51777433615	94979.15272606563	76182.0037021358
49	15.7	1.0	49357.49836804734	65238.46630749795	60768.470866078314
50	15.7	1.25	49379.55930148377	62903.865107340556	57107.91838923741
51	15.7	1.5	51005.590993459366	85762.98052591304	67431.80951629484
52	15.7	1.75	50120.38417735032	70719.42855486559	62712.6253098987
53	15.7	2.0	50499.31014827342	67928.7554253411	54118.687399490416
54	15.7	2.25	50164.083486497264	57251.853030322534	52971.79677027494
55	15.7	2.5	52338.15904950648	68597.16992491743	56604.4712381511
56	15.8	1.0	49185.90396980433	85782.59863086425	69474.26624207999
57	15.8	1.25	49941.75296813836	78320.85964870352	67811.2050802323
58	15.8	1.5	50169.62639187516	69831.62219510073	58710.62572310161
59	15.8	1.75	50289.23779619426	82431.53722123039	67206.56491856968
60	15.8	2.0	51305.038687875414	82211.67051588159	70612.68390040667
61	15.8	2.25	52417.81003996724	79952.4704858418	66896.25523486607
62	15.8	2.5	52739.26759925427	87868.30984670835	75126.46392761734
63	15.9	1.0	48839.41945168476	78280.46312273006	70334.54472981601
64	15.9	1.25	51620.3909004347	90573.07652377119	73187.27591233338
65	15.9	1.5	49915.146518676454	73644.57672878253	66686.45995400287
66	15.9	1.75	50204.758114411765	80700.34261445109	74790.32282823516
67	15.9	2.0	55122.02518256997	97576.24379038873	78704.10968750215
68	15.9	2.25	51788.10637395914	70081.68954412188	58734.925644535164
69	15.9	2.5	52801.13681617755	83792.70180993139	68728.69746282401
70	16.0	1.0	49198.561822282056	76204.91293689645	67537.50036310623
71	16.0	1.25	49253.34036310344	89481.16445003668	70773.8874767701
72	16.0	1.5	49452.50395836669	57805.03925146105	59585.43598260689
73	16.0	1.75	51088.040878187225	64143.359357552836	58295.95566052204
74	16.0	2.0	50322.567018874295	97810.64876072746	74451.08029443183
75	16.0	2.25	50924.196664001494	92695.54106210567	73076.08130497676
76	16.0	2.5	52632.385434909505	68502.38473642648	65380.048345413015
77	16.1	1.0	49145.810675075	80162.9410745171	61058.23332239808
78	16.1	1.25	49230.969980804795	68072.3022330088	66913.81428314737
79	16.1	1.5	51317.721936343914	98429.31592259945	72413.01339516262
80	16.1	1.75	50430.73645916475	82592.44315353748	69557.77876362539
81	16.1	2.0	50428.43602861345	65477.462522443966	67459.20869018656
82	16.1	2.25	51838.788639412625	78996.06987891161	75205.3758197704
83	16.1	2.5	52470.4259024789	72552.4206476329	60819.27772751415
84	16.2	1.0	49956.09581804711	87461.39824156086	69717.17943232151
85	16.2	1.25	49766.88491812499	80270.13963880585	67118.52490420593
86	16.2	1.5	51610.30152206179	92268.19530363615	70368.35877290137
87	16.2	1.75	49816.379705932544	66271.04249792591	60453.96713468507
88	16.2	2.0	51293.96966036125	82730.97141866997	66666.09749435606
89	16.2	2.25	51592.09872818359	72711.19833912308	62370.93575265637
90	16.2	2.5	53069.67484389732	78200.65897296861	72783.0908921796
91	16.3	1.0	49062.72401487302	72465.56563317816	57119.97670156008
92	16.3	1.25	49655.968348608505	83765.8836098274	69098.11042375682
93	16.3	1.5	49639.01999473347	82810.94129536062	68096.45256709104
94	16.3	1.75	50474.372787289685	60800.228514180766	54094.80544486474
95	16.3	2.0	50964.59251679667	87221.60558960277	72271.67937839136
96	16.3	2.25	50665.94999693014	69739.07130615233	56199.24788808798
97	16.3	2.5	52167.44460433697	67444.83745505521	63791.39375097948
98	16.4	1.0	49378.950603959034	80487.6554716727	69275.9242028771
99	16.4	1.25	51441.553072525436	92447.8750040097	71756.67917313785
100	16.4	1.5	50388.02793472877	89570.69913807586	73522.99077801597
101	16.4	1.75	50988.41248509185	81743.8041689067	67665.49522630464
102	16.4	2.0	56221.93524011797	99035.83780354555	79424.06338323823
103	16.4	2.25	52191.49208440601	101833.41722950642	71799.49625288876
104	16.4	2.5	52321.88129239869	80506.07705187298	71000.84878635449
111	16.5	2.5	52468.20280064749	75290.95699975241	65174.956026980784
109	16.5	2.0	56406.571558318166	102524.87183747876	78008.00317552476
110	16.5	2.25	51001.50523299952	79842.50880227672	67893.23127581847
107	16.5	1.5	49492.20766604058	78040.59794190672	67964.51397495012
106	16.5	1.25	52703.37934624394	95643.18291917286	73415.26990821706
105	16.5	1.0	49574.750504801115	78119.52461703855	66302.83090949796
108	16.5	1.75	50448.348417956695	58903.979673667585	53311.253475544174
112	16.6	1.0	49502.65476782198	72340.79419997805	62663.661415111324
113	16.6	1.25	49860.493136100245	81804.82635262309	66526.94940526591
114	16.6	1.5	50984.80903674893	92802.80212520878	68633.54260059512
115	16.6	1.75	50359.72715961196	88550.64240471413	71169.6565997864
116	16.6	2.0	51612.07375319258	89920.74562393963	71665.93881675194
117	16.6	2.25	52347.06164233908	78494.4412662732	67436.31264827315
118	16.6	2.5	53843.108452503315	75528.86540619431	67888.9524185783
119	16.7	1.0	48998.73917950459	76332.02038269486	64674.317546540915
120	16.7	1.25	49830.1696298118	75684.75130937652	64289.643540813144
121	16.7	1.5	50277.265089240915	70407.69290125242	59569.38310205366
122	16.7	1.75	52608.422876310666	90255.78591564948	74703.22202717123
123	16.7	2.0	51342.26247025068	79063.6490865753	63687.39051489953
