	Windspeed	STDeV	Leq_x	Leq_y	Leq_res
0	15.0	1.0	49075.739907776326	72746.0402578463	63121.38569145111
1	15.0	1.25	49643.840574053545	68445.55907715192	63041.886458455185
2	15.0	1.5	49851.51124451357	82819.24224378812	67723.11186457769
3	15.0	1.75	50904.13572804707	71441.66668735341	66687.48291460308
5	15.0	2.25	51160.64600129314	76553.14989209171	67572.0344680757
6	15.0	2.5	51408.23207912696	85044.71971556156	70889.53578698423
4	15.0	2.0	50652.791604764185	68738.06907892902	64362.73918094886
7	15.1	1.0	48990.04988259727	71004.18187184526	66763.61109518436
8	15.1	1.25	49812.59187292056	77950.8463427889	65672.86648379927
9	15.1	1.5	50581.22638380401	71558.53612116414	64084.45427487853
11	15.1	2.0	51377.18499686844	80055.25159915135	68661.25965479398
10	15.1	1.75	50881.918915001435	93936.00593121874	76861.75910953878
13	15.1	2.5	51629.70988171882	78688.14555194379	63772.40602659272
12	15.1	2.25	52109.90416329329	102538.62608308373	81238.47326551931
15	15.2	1.25	49236.38940433272	69199.61352712296	65171.137124989385
14	15.2	1.0	48874.279752700655	74453.82900611895	63494.0665532434
17	15.2	1.75	50660.70658729413	61519.25559727387	56723.34824428655
16	15.2	1.5	49887.791254935335	81260.28472677812	71291.13976511033
20	15.2	2.5	51086.745814874164	79897.20703645292	70504.91979348811
19	15.2	2.25	51373.09717718806	74108.27345105931	69664.53384943945
18	15.2	2.0	50207.09226859094	56718.28901428096	54710.49811179402
25	15.3	2.0	51265.713067299526	68385.94018302263	61883.525935780584
24	15.3	1.75	51501.97454750617	78300.012930668	68885.19515849417
21	15.3	1.0	49639.697687111846	79777.09282233898	68729.24934095508
22	15.3	1.25	49615.83614813615	75421.04475922085	65349.52342016033
23	15.3	1.5	49472.481002995526	84745.16821651136	64565.27139428936
26	15.3	2.25	52405.321975433966	91408.19792999509	71694.85855912912
27	15.3	2.5	51295.98655137302	64784.525639548265	65536.69409619075
31	15.4	1.75	50305.93206111889	66998.44273451899	63236.522143248905
30	15.4	1.5	49627.49373271417	76469.57968998114	64678.570424229474
29	15.4	1.25	48965.20462833193	56011.5652683483	56245.57593035488
28	15.4	1.0	49662.72992420911	80697.44174911942	64575.35700558617
33	15.4	2.25	51761.966596217026	87920.81547663204	81876.45661184189
34	15.4	2.5	52855.03740557991	72736.8057688664	71227.67376366595
32	15.4	2.0	51881.74366288448	90036.80259160798	65850.4743006047
35	15.5	1.0	49402.276713082705	72756.84482319524	64495.04807902266
36	15.5	1.25	49370.60235948567	90668.6553847675	71725.1061960259
37	15.5	1.5	49695.74674972413	78341.17600405388	68603.27474391629
40	15.5	2.25	51426.43931199738	77478.9057673599	66978.65258460311
41	15.5	2.5	52989.299041793296	107102.96300546202	68797.89061547037
38	15.5	1.75	50407.50353346823	55985.3443417212	58029.369372604815
39	15.5	2.0	50415.142302680746	71603.20012741265	57506.24524670617
44	15.6	1.5	49663.81950104613	58052.76082303009	57178.13183083942
45	15.6	1.75	50453.819967466115	89124.64403523797	68518.98128839524
46	15.6	2.0	51992.612702699764	89727.46370823563	73302.12701674514
47	15.6	2.25	51915.32856084742	82806.99356503089	67554.24284349325
42	15.6	1.0	49829.59081238459	84385.87310411516	67511.20332784466
43	15.6	1.25	49320.95870562141	72060.64570827299	61675.87813139384
48	15.6	2.5	52429.94065330907	74854.16565944625	69161.81181706242
51	15.7	1.5	49869.13605805234	72276.41841217075	71282.8861868493
53	15.7	2.0	50676.82256059356	63029.69900809401	63238.897890734705
55	15.7	2.5	53299.864583169525	106662.11934487632	83489.80296870433
49	15.7	1.0	49430.05185808366	78714.23306146073	61161.17112874589
50	15.7	1.25	49576.45190906531	63410.73273675286	64203.02072908743
52	15.7	1.75	50464.905465677686	83594.92172037523	60642.66226495735
54	15.7	2.25	52821.1912426243	91263.46721802198	77735.62633416762
56	15.8	1.0	49540.996546438975	78213.53576424206	66814.3261241035
57	15.8	1.25	50080.78446769312	77419.96672657308	61978.2234504363
58	15.8	1.5	51905.946973080165	86101.59833191847	66361.53470830964
59	15.8	1.75	49892.40098359003	65823.42816175925	60860.62713170239
60	15.8	2.0	51658.16797566985	86022.4954318649	65211.93882373105
61	15.8	2.25	60435.952455570674	114844.3966066217	86041.40795969806
62	15.8	2.5	57402.86269778022	115625.46498043081	82181.52682523584
63	15.9	1.0	48863.4306311253	72539.367846864	61738.78852502979
64	15.9	1.25	49473.180502888106	81947.60358843481	68893.58868665113
65	15.9	1.5	49221.40865099374	76853.4617834731	66622.10308570444
66	15.9	1.75	50250.98594392547	76142.07779153503	71109.08148408029
67	15.9	2.0	55231.38616849513	101722.27786082221	76819.68858501318
68	15.9	2.25	51002.431923370095	86776.94275523366	72896.59889462184
69	15.9	2.5	54322.78396583522	97072.48306513934	79747.33116413496
70	16.0	1.0	49643.587711025255	82242.33144957197	66370.5990744561
71	16.0	1.25	50746.432699233956	83953.45144158327	69740.62807379352
72	16.0	1.5	49639.75892260609	67421.75598595811	63458.94578044196
