	Windspeed	STDeV	Leq_x	Leq_y	Leq_res
0	15.0	1.0	49469.25343181953	70960.09279269366	60764.60402927655
5	15.0	2.25	53306.87185979661	99587.39264567397	75114.09805052265
4	15.0	2.0	50039.77158559346	71957.08669228475	64424.47505034541
3	15.0	1.75	52739.525428624125	96639.17660356776	73237.06792306327
6	15.0	2.5	51334.42809430242	69659.28123102106	67860.00372877468
2	15.0	1.5	50416.122650219535	72865.24574706005	68053.04720228117
1	15.0	1.25	50223.617025500556	92850.5802500363	73492.35099816206
9	15.1	1.5	49503.16806273746	70844.93929830135	62250.51790407281
10	15.1	1.75	50710.69027051899	68040.4327605264	58260.33219621757
12	15.1	2.25	51252.322141580495	62861.18999709423	60732.30734052136
8	15.1	1.25	49912.50017276899	85305.05459215271	68285.37623022596
13	15.1	2.5	53208.218999207194	85572.81248293856	74389.057652632
11	15.1	2.0	50728.20883375648	76907.24650837283	68313.0455563448
7	15.1	1.0	49197.41910638444	68058.16867872475	59912.52105497793
14	15.2	1.0	49184.91287293973	64180.23127863036	61458.69881264572
20	15.2	2.5	52323.293895003764	80296.28333479684	65532.45591954529
19	15.2	2.25	51146.0626280082	64956.06435227548	59680.13173400349
16	15.2	1.5	50371.14227369699	87536.18475780684	68787.41714513474
17	15.2	1.75	49658.14695022646	56944.43636819491	58607.30230481041
18	15.2	2.0	50669.14008132736	81801.44804147727	72529.95801441911
15	15.2	1.25	49352.70534622574	66312.07618312341	58527.424998195595
22	15.3	1.25	49473.50174587405	71914.41598024302	62859.80479322205
23	15.3	1.5	51005.580744774976	84811.66351381512	68037.24489630677
24	15.3	1.75	50424.710181147304	76660.99879272803	64936.52862579624
21	15.3	1.0	49495.93472229981	74359.66586596858	64929.144331000076
25	15.3	2.0	51288.6267764146	68509.13817389306	62369.69292862358
27	15.3	2.5	53345.965066521174	89169.65328148297	76458.70640290929
26	15.3	2.25	51406.880871534246	91582.42403757115	69443.16067389103
31	15.4	1.75	50469.25349336901	76784.14175677663	65731.07958111941
32	15.4	2.0	51401.687090912164	72877.67501257484	66270.37418256619
33	15.4	2.25	55440.346581438615	89220.3158642151	74293.88987283307
34	15.4	2.5	52962.43403041091	85405.23185128323	72793.4304653255
28	15.4	1.0	50671.63985649189	85862.97208006633	68067.53615134531
30	15.4	1.5	50729.40532891792	79005.64160104386	70938.99427578488
29	15.4	1.25	50135.51340155989	85944.92744550743	69054.05892381816
41	15.5	2.5	52146.45178731697	75150.72095645784	62439.82713855544
40	15.5	2.25	50951.417080137864	84636.81572216656	67909.33305086139
39	15.5	2.0	50631.642170870175	85911.36508075945	68767.61730690296
38	15.5	1.75	50651.82648126646	78606.65626203502	69541.99088365109
36	15.5	1.25	49182.96340302178	67892.6220307826	63081.969329098974
35	15.5	1.0	49256.253910859916	75099.40350144304	66639.76902304703
37	15.5	1.5	49310.4341542677	58322.00500721898	54426.66409928483
44	15.6	1.5	49325.2040744896	68391.31714244539	63694.73865358547
43	15.6	1.25	49742.15475898225	70920.0616392317	65707.16523032014
46	15.6	2.0	50879.82665126805	58081.191526438815	56394.78660370424
47	15.6	2.25	51368.35045140932	97136.1915739954	71342.5862786267
45	15.6	1.75	50442.41018625552	68349.46977105022	62072.96817412319
42	15.6	1.0	49576.086335363114	81894.21216703275	67336.67558974805
48	15.6	2.5	54055.16897016545	100685.40422116849	75506.43276640761
49	15.7	1.0	49506.535980409324	77626.23872074205	64222.986081987
50	15.7	1.25	49222.778746804324	69956.38910617518	65665.76679763595
51	15.7	1.5	50028.99126982356	74393.06395598991	65700.64401520307
52	15.7	1.75	50010.57570511264	60364.72501842876	57854.089887690374
53	15.7	2.0	50555.595222877055	79354.671597791	68767.79212804514
54	15.7	2.25	52305.428011862095	81592.52362335932	66023.21917959822
55	15.7	2.5	52253.33680286689	63820.91394680466	60773.449794046894
56	15.8	1.0	49253.38341526002	68534.43389686556	61193.11667356096
57	15.8	1.25	50095.180125763276	69956.76354867803	66940.22241345773
58	15.8	1.5	50152.88379132463	77144.5422907715	69017.890518869
59	15.8	1.75	50825.6163232894	76458.3116924734	72413.7440062741
60	15.8	2.0	50472.59613384613	83786.90672698773	66370.87333025494
61	15.8	2.25	51303.92776587199	61463.9589625247	60289.863134087616
62	15.8	2.5	51956.71338898505	89559.12217936608	69735.94235988746
63	15.9	1.0	49007.00543147001	77526.40052986435	69230.57782472906
64	15.9	1.25	50054.55457037813	67197.78963618597	60708.614493825524
65	15.9	1.5	49936.199810385704	87313.81574319249	68920.66993475912
66	15.9	1.75	50122.408493830146	70210.59262090283	63565.24207334821
67	15.9	2.0	50558.65814881334	75014.15610187146	64156.53188943128
68	15.9	2.25	52350.10911448945	87859.0430897662	70372.73637942607
69	15.9	2.5	52314.68960278268	98379.63950239716	76285.95544562062
70	16.0	1.0	48884.48458308195	77946.54901931892	65752.81385333496
71	16.0	1.25	49228.16215624087	80602.7208966684	66870.48581995834
72	16.0	1.5	49267.193494121224	74869.09892128923	62211.423476255055
73	16.0	1.75	50511.58041798551	76765.1658781671	65881.99374467587
74	16.0	2.0	51468.41172745581	92686.77553249727	76246.88821257857
75	16.0	2.25	51748.44605157295	75316.16725212595	70942.95740525209
76	16.0	2.5	50876.56633661511	61974.71701326784	59398.55104997519
77	16.1	1.0	49578.0304019238	82892.18757486738	71295.29180491487
78	16.1	1.25	50001.445689050975	94176.65122469622	73477.49408558679
79	16.1	1.5	49599.987581521935	65388.98943981076	63167.929847168125
80	16.1	1.75	50609.17011581903	66451.12232252401	62691.0647619626
81	16.1	2.0	51778.763860238425	98230.98214054076	70982.30947556271
82	16.1	2.25	53863.69909402879	85111.66574606406	73289.40772173528
83	16.1	2.5	51353.90980696562	77615.77020578536	68137.3060584701
84	16.2	1.0	49785.470419055826	80138.65567185784	64518.9931024593
85	16.2	1.25	49392.649876011536	79061.9556713603	63272.02432268935
86	16.2	1.5	51362.20496267803	88406.21378449058	70542.31951712075
87	16.2	1.75	52961.48153506979	90058.94897652819	68682.29074000225
88	16.2	2.0	51271.80256987504	80272.29881968247	66938.9059681864
89	16.2	2.25	51687.629000379966	89485.96810850978	72697.65404450227
90	16.2	2.5	52582.32264310057	63472.51830799562	57713.890904663225
91	16.3	1.0	49303.553889245755	74393.29632094972	63315.03021902007
92	16.3	1.25	49246.063973243814	70594.97062795074	60737.86945033293
93	16.3	1.5	56017.540232493935	98403.55685295725	79577.48155350241
94	16.3	1.75	50435.05614258078	83118.20421068755	67105.63689189876
95	16.3	2.0	52153.00462010586	91629.07530818875	73557.77466107691
96	16.3	2.25	51497.75022028214	84441.01639887886	69696.95657467289
97	16.3	2.5	52889.39344616852	117805.35026090687	79764.88914610223
98	16.4	1.0	49597.292282758404	84501.5120611738	66975.82905083377
99	16.4	1.25	50173.86442489769	94093.4204228676	68797.50342225788
100	16.4	1.5	50112.929879722185	95264.93177668047	67400.2494536733
101	16.4	1.75	50710.91482698629	79449.60918582528	64818.136193016864
102	16.4	2.0	51118.43191400166	52778.38357380489	54337.927422624685
103	16.4	2.25	51850.250923973304	95163.37487104222	72371.38994219336
104	16.4	2.5	51953.21778898483	88993.00423374951	62033.47219123863
111	16.5	2.5	51647.43473389079	82410.24180300508	66760.55327863383
109	16.5	2.0	50685.08113733976	82421.12832325854	68850.82645763447
110	16.5	2.25	51700.919581338676	96809.13540981515	82243.33943278673
107	16.5	1.5	49874.69822611198	69825.66141568306	59460.98786416606
106	16.5	1.25	49282.52516246396	95351.69670435083	68392.37207133204
105	16.5	1.0	49785.17292277345	81712.46119887815	67118.03826602566
108	16.5	1.75	50994.21454308455	85059.75580234738	68225.24430220187
112	16.6	1.0	49319.30267981555	73393.00427123798	63257.24994382484
113	16.6	1.25	52623.634547427086	95951.07301564084	68891.31519975656
114	16.6	1.5	50064.89050174601	51248.99131334721	54113.81420550784
115	16.6	1.75	49977.91414031357	64045.90094301182	60186.11906887001
116	16.6	2.0	51940.39158558692	59881.441301216524	58676.195057162164
117	16.6	2.25	51324.78827492318	105590.13627557726	74848.04400901195
118	16.6	2.5	50917.538169127285	62369.067705851216	58588.97074119067
119	16.7	1.0	49162.30524412888	70491.1583528058	57869.56290277875
120	16.7	1.25	49024.70639811322	71838.11088320203	59488.08661173295
121	16.7	1.5	50623.80450513896	86520.6608480952	70049.98393564257
122	16.7	1.75	50408.8450674385	72390.96235569431	62177.39776577977
123	16.7	2.0	50458.86743473655	76711.56270990764	60780.13275003802
124	16.7	2.25	52079.01479423939	65584.83131810307	62695.4474555647
125	16.7	2.5	52619.832329920115	72737.46481548426	62013.00993053923
126	16.8	1.0	49222.107545126295	68542.32892183281	62565.76756356092
127	16.8	1.25	49306.72777920704	72076.53977702056	64586.15650754087
131	16.8	2.25	51276.109240457765	69048.06689511707	61568.02941551045
130	16.8	2.0	50601.15013551481	94252.07075597442	72555.19618183223
129	16.8	1.75	50896.6141104982	85507.07467455033	70079.48815859522
132	16.8	2.5	53592.403791961	97145.17768515	71623.12625926336
128	16.8	1.5	50560.82622471199	64550.62358983076	60158.11696382308
135	16.9	1.5	50275.34485601533	89216.62884887341	67208.84436257862
133	16.9	1.0	50097.41612200136	86662.35540555234	71892.09698634417
134	16.9	1.25	49857.43681730936	66078.29860619499	54468.411909453855
136	16.9	1.75	50385.51842910652	82465.75536467359	71407.23807469319
137	16.9	2.0	51647.41325487219	52141.94302873446	50945.4310184577
138	16.9	2.25	51991.34662871048	93471.44411655697	71166.04769803082
139	16.9	2.5	52243.88171474183	80006.08149300082	76070.10879216767
140	17.0	1.0	49219.55066284456	81815.8177558705	66178.26046513644
141	17.0	1.25	51466.81548013031	93906.09810595184	68650.52175103429
142	17.0	1.5	53448.37137793018	106379.33473592513	78807.17518911452
143	17.0	1.75	52148.45702502782	94748.58738958625	71761.96389110429
145	17.0	2.25	52826.02140323018	58827.380506277594	56692.91858526425
146	17.0	2.5	51479.84563438368	68859.1936382417	62323.62758464611
144	17.0	2.0	51925.26869337232	94233.65319197226	68996.79192717902
151	17.1	2.0	51881.37759388398	99990.49344343867	75313.55784048459
147	17.1	1.0	50042.55204399116	87403.92791533386	68419.00174046947
150	17.1	1.75	52044.46257570353	93856.31285267754	69984.39315363187
149	17.1	1.5	49755.581808806746	73429.15705359435	64278.50161875418
148	17.1	1.25	49428.86038090565	81517.62123442272	67822.59546434936
152	17.1	2.25	52908.87837908085	108826.00206706183	77367.5127514975
153	17.1	2.5	51411.94383025715	60180.31369134453	62035.45348913286
156	17.2	1.5	49845.97631464495	56524.78085417319	46402.57592524309
157	17.2	1.75	50721.9758119589	78990.96698950318	64062.20362190311
158	17.2	2.0	53153.93735692277	94044.40205856368	74442.13617313185
159	17.2	2.25	52049.15504141729	108450.71727344397	81710.96739238726
154	17.2	1.0	49479.99086331679	69999.16629437289	61905.4820960058
155	17.2	1.25	50270.80688094983	88632.21237741582	67784.93381224481
160	17.2	2.5	51496.74809429371	66812.86562319065	62621.988770517935
164	17.3	1.75	50842.094156155006	95179.07908843117	71950.37694013884
