	Windspeed	STDeV	Leq_x	Leq_y	Leq_res
1520	5.0	1.25	45760.1883598371	21553.805731495744	25909.37713107114
1521	5.0	1.5	45315.132941421354	27812.507288816592	28849.31398379827
1523	5.0	2.0	45315.765721878546	27327.867251900767	28499.592372867886
1522	5.0	1.75	45397.82593762217	25967.62843123711	27488.263998138842
1518	5.0	0.75	45072.967984858806	18310.33274956918	22772.213444498702
1519	5.0	1.0	45023.33721872602	20576.70065445743	23926.834847970975
1517	5.0	0.5	44989.445527882395	19416.824994679846	22499.692447369864
1516	5.0	0.25	44909.78530027112	19065.63974966792	22095.636043173552
1524	5.0	2.25	45886.29354987999	28422.9660833303	30114.188627028372
1525	5.0	2.5	45907.045115603796	31894.955533790882	32947.2912983759
1534	5.1	2.25	45757.11394570149	32979.78787171914	35084.375413200665
1535	5.1	2.5	45672.973471269004	36807.78209152048	38959.03715287711
1529	5.1	1.0	45320.996868157046	20219.977498761393	24102.336927204495
1528	5.1	0.75	45147.07560830976	21210.072909703875	23790.9138389507
1531	5.1	1.5	45367.32612565877	24676.04793083103	28859.472498528685
1530	5.1	1.25	45159.00693364847	23475.22011680586	25271.382359703042
1532	5.1	1.75	45405.71062120807	30624.82755144655	30588.167739578905
1533	5.1	2.0	45380.50805247963	29869.257287335156	31565.436158933724
1526	5.1	0.25	45067.95584821067	18827.14953175347	22022.260537240752
1527	5.1	0.5	44868.407835823724	19694.72451309168	22183.9085675013
1538	5.2	0.75	44986.910230173715	20808.013630991598	24393.290224037995
1539	5.2	1.0	45264.38054984872	22719.862877142998	27288.414541063383
1537	5.2	0.5	44991.8653403306	19475.65278829538	23090.871951834295
1536	5.2	0.25	44809.40010894651	19590.89172650373	22327.04870361391
1540	5.2	1.25	45360.279554866225	22684.08710638169	25319.480095469553
1541	5.2	1.5	45228.69591916222	25349.315742221606	26910.453926206515
1542	5.2	1.75	45521.675685493115	24800.84454553173	28064.717583354995
1543	5.2	2.0	45541.90642602179	31370.07542982064	33672.54104540362
1545	5.2	2.5	45883.275540807146	34864.43193667973	37778.00084019175
1544	5.2	2.25	45690.28737728655	33587.96952426578	35500.52429860407
1554	5.3	2.25	45794.20530234374	32693.889130677602	34818.229634339026
1555	5.3	2.5	46186.689380173855	37706.86634976076	39434.6473656181
1546	5.3	0.25	45221.23921606254	19738.198407407344	22348.29989269277
