	Windspeed	STDeV	Leq_x	Leq_y	Leq_res
55	15.7	2.5	50339.936658168386	61494.37538230999	61573.345064023335
49	15.7	1.0	49502.42088690232	76724.15261080065	64350.51597783283
50	15.7	1.25	49890.481574162855	77917.55716227758	64618.29769743029
60	15.8	2.0	52374.487944413995	86335.38627955707	68694.2372884573
61	15.8	2.25	52710.3384693094	90743.19191716462	72227.43668741467
58	15.8	1.5	50674.54293542358	76759.59148840106	67252.84352269604
59	15.8	1.75	49742.46003482702	76119.87538683586	67269.84259638905
62	15.8	2.5	53246.58980814397	94723.61028331377	77632.32982712545
57	15.8	1.25	49150.86331805687	76995.0773558651	66523.95074077835
56	15.8	1.0	48895.63538383625	75099.52572447235	63639.48645018546
65	15.9	1.5	50041.065515437585	78306.56701994155	64800.405881388135
68	15.9	2.25	51975.53482823639	73297.58900339062	66029.50209271608
69	15.9	2.5	54786.610491508756	99412.47262640933	82230.51379271303
66	15.9	1.75	49714.17449373335	78355.93185308421	62327.39473656675
67	15.9	2.0	51592.85595451544	64914.377015005906	59855.091581926186
64	15.9	1.25	49071.160770593604	77148.19595286486	63215.93272884321
63	15.9	1.0	48912.279610622594	83227.78054322608	65774.36453770022
72	16.0	1.5	50125.81035344981	71866.81841894175	60233.00866006761
73	16.0	1.75	50853.232058345195	70225.85835999045	56541.90303863343
76	16.0	2.5	50935.01425590879	71735.85178993318	69859.23500387349
75	16.0	2.25	52034.22469659943	89133.15514818259	67799.21180849211
74	16.0	2.0	51926.79403676819	96696.88325669305	73282.43320120827
71	16.0	1.25	49748.10689382995	75044.07530216088	62835.1031970757
70	16.0	1.0	49409.03626435412	86602.92496102926	71043.9343089624
77	16.1	1.0	49175.559912224664	75045.17517192531	65244.7091934297
80	16.1	1.75	51346.141177056394	82576.84889539638	67897.44091489095
81	16.1	2.0	52470.701785489575	83857.42185039172	70990.4306355477
82	16.1	2.25	51449.43303063056	74135.5589861079	65274.47180012667
83	16.1	2.5	54338.00456268746	98209.83887772195	82711.85601524364
78	16.1	1.25	49316.22786627701	75990.61243484577	64737.18705015832
79	16.1	1.5	49730.67820311646	75448.13316012795	61084.47050803289
84	16.2	1.0	49081.242178965724	77754.37241968629	62515.586718803745
85	16.2	1.25	49249.569648346915	66430.99544023979	64556.60225593024
88	16.2	2.0	51558.56648122396	79032.82445296255	64325.48053483189
89	16.2	2.25	50499.74771148526	74967.50068403152	63798.83554444118
90	16.2	2.5	52585.87535409889	87035.71631156016	69431.62208248205
87	16.2	1.75	51268.08592123888	89610.81566891837	68369.74594213474
86	16.2	1.5	49487.62323086806	81786.99638089028	70790.45925529655
95	16.3	2.0	50158.63869824911	63097.277027823424	56636.980874886554
91	16.3	1.0	49173.67094279806	79423.29879125557	63388.91450412369
94	16.3	1.75	50655.110079837585	66526.55663896046	59448.40218085972
93	16.3	1.5	49190.1511394046	63607.98646816387	59782.99314578112
92	16.3	1.25	50137.413560332396	89057.91761285356	70496.35735327516
97	16.3	2.5	52748.454635493275	69253.07083178616	61761.39449972229
96	16.3	2.25	51814.18537441497	65833.45535096992	57110.68680424693
103	16.4	2.25	52635.364230825755	85502.59652663776	64577.016289674655
102	16.4	2.0	51307.30935747836	73276.12521971953	62296.87766738605
99	16.4	1.25	49464.88794695296	82523.95255898891	67764.27181862123
98	16.4	1.0	48952.21040939027	53264.35916624469	51741.425500822435
101	16.4	1.75	50541.9802763761	71177.95157106135	67073.84829768201
100	16.4	1.5	49823.411837626896	67118.30376489653	60445.66296214994
104	16.4	2.5	52043.504189212574	75368.05268680216	74165.27335113911
110	16.5	2.25	51036.196327129386	62408.98602749435	65087.92071400715
111	16.5	2.5	52707.325828157365	69976.22631197472	61617.36358983317
108	16.5	1.75	50400.808354305795	53831.328430247544	56004.10404971721
107	16.5	1.5	51037.93231607669	91421.58885889653	71159.7024401879
106	16.5	1.25	50374.03670599419	82864.05016957864	67410.41227746954
109	16.5	2.0	51354.19521263879	77076.21657330406	71875.3441951042
105	16.5	1.0	49557.102118430885	80827.19919060463	65341.13892372862
116	16.6	2.0	50412.858282648565	83944.3245592115	70616.21268780383
117	16.6	2.25	52316.68600346238	82406.25026948341	69143.12663213912
114	16.6	1.5	50713.16357920803	76313.9183675245	66880.45074972992
115	16.6	1.75	49876.190815961665	68908.09033821471	56098.37692400739
118	16.6	2.5	52209.3936696604	76306.92835994039	74914.06481191305
113	16.6	1.25	49223.70497925439	83679.2470159046	63723.112171981
112	16.6	1.0	48820.75461330079	81106.27792861735	67771.89211257751
121	16.7	1.5	50044.71331731052	87301.05684976076	69694.39123673775
123	16.7	2.0	50531.80398813725	68168.12113213155	60509.164398741086
122	16.7	1.75	50850.917910052194	96912.73735701885	74903.92542123378
125	16.7	2.5	52725.376639772876	70216.034975262	61297.63630906449
124	16.7	2.25	51600.86853374804	86970.78020664307	67275.30951643178
120	16.7	1.25	49966.75381875525	83180.86120730542	66713.18473436504
119	16.7	1.0	48809.056078672904	78873.07450680736	64510.88084199674
127	16.8	1.25	49801.38488741593	85296.42380028317	63820.72147159205
126	16.8	1.0	49455.95659036612	73725.41796566852	60147.25211382527
128	16.8	1.5	50758.00204760237	81159.89986871851	65257.15565110815
129	16.8	1.75	51069.736508539594	78876.30452449269	65908.5207692098
130	16.8	2.0	52459.907198078254	92107.5880077418	74220.58680357739
131	16.8	2.25	55780.746398862764	94539.46555615026	76928.50180575975
132	16.8	2.5	52192.90970910916	76799.71632001405	74674.90086047625
133	16.9	1.0	49710.621376168376	81806.33302576098	67555.2431897151
134	16.9	1.25	49314.33988672764	71919.8178998088	60925.39037285474
135	16.9	1.5	56785.04650728202	111609.65723695996	86931.83615528778
136	16.9	1.75	51531.17895343831	78868.93924990794	62681.10616278051
137	16.9	2.0	50999.878183540364	75396.76959097353	70863.96616216368
138	16.9	2.25	50807.48950953406	71222.10456360679	65640.77290388587
139	16.9	2.5	51807.5937788671	70794.96270061035	64404.18037835324
140	17.0	1.0	49440.11014171668	81714.17696464568	65079.456032654896
141	17.0	1.25	50218.88924454711	83397.06845486861	67832.32909562338
142	17.0	1.5	50929.70316142268	102791.74798202842	78389.11724587099
143	17.0	1.75	49742.8777836333	68135.61849871624	63710.94095291479
144	17.0	2.0	50697.89533232246	62733.929692347265	57015.66707478519
145	17.0	2.25	52105.681309026346	92598.05384508321	72726.50814278932
146	17.0	2.5	52759.54018454106	70717.28099451352	60830.40821681148
149	17.1	1.5	50883.32590368095	80481.86924566243	65695.0750309848
152	17.1	2.25	52981.94502691141	101551.6765188265	75846.79241089974
150	17.1	1.75	50693.04692060959	90296.77723176744	70079.30967200594
153	17.1	2.5	52572.31704584179	77784.56360018256	74533.42465500483
148	17.1	1.25	49448.240585584426	77029.00400178794	69342.84268831942
147	17.1	1.0	48662.13294513866	71074.25252689149	59289.53512828788
151	17.1	2.0	51731.976725525834	95997.0405475012	73342.83097656615
156	17.2	1.5	49058.5331191406	73546.78912408826	70125.2699458803
159	17.2	2.25	52712.64645779388	88325.31113564876	75448.72096093636
157	17.2	1.75	50872.30251789409	63844.596556405995	63197.29393634921
160	17.2	2.5	52672.13598655673	71351.83309485683	61189.517698678406
154	17.2	1.0	49266.622746231245	75950.31717082112	66812.49595755912
155	17.2	1.25	49544.82079265452	81865.62114371518	64456.00992306861
158	17.2	2.0	50916.12385366599	81031.65338922133	60593.238311989764
163	17.3	1.5	49492.767051353185	66873.85118304305	57734.614718302124
167	17.3	2.5	52552.45410086756	78192.08054964061	75117.32617121226
165	17.3	2.0	50889.31881117645	84281.68794099116	64551.79764197756
161	17.3	1.0	49104.72626916517	63490.34880850564	55771.69985603
166	17.3	2.25	52229.31260988535	98496.1130893154	70819.95811723205
164	17.3	1.75	50237.76695475017	73855.00425412158	59133.73730406457
162	17.3	1.25	50260.7080428832	87553.02352507293	72075.26580248539
172	17.4	2.0	52798.07826622227	95851.82233331891	81206.51377603615
171	17.4	1.75	50668.65532133492	83482.73827975351	62576.65315268016
174	17.4	2.5	51803.52501191262	71840.53797503757	64902.785437592174
168	17.4	1.0	49063.69432064003	74683.63442988425	60249.84264836156
