	Windspeed	STDeV	Leq_x	Leq_y
269	18.9	2.5	7108.147878787878	7028.350454545455
271	19.0	2.25	7204.354393939394	6438.227272727273
272	19.0	2.5	7190.8890909090915	6728.1191666666655
270	19.0	2.0	7114.373333333332	6085.449090909091
273	19.1	2.0	7158.875454545454	5507.4
274	19.1	2.25	7171.858181818182	6552.783636363636
275	19.1	2.5	7364.65909090909	7018.8159090909085
278	19.2	2.5	7276.205454545454	6749.3045454545445
276	19.2	2.0	7106.3381818181815	5593.989090909091
277	19.2	2.25	7169.062121212121	6442.4290909090905
281	19.3	2.5	7109.9345454545455	7684.925757575757
279	19.3	2.0	6941.556818181817	5870.1172727272715
280	19.3	2.25	7285.556666666667	6007.374545454544
282	19.4	2.0	7051.176363636362	5859.0
283	19.4	2.25	7005.755757575757	6521.459999999998
284	19.4	2.5	7228.272727272727	6713.0015151515145
285	19.5	2.0	7082.406818181818	5750.76
286	19.5	2.25	7332.477272727271	6713.847272727272
287	19.5	2.5	7034.348484848484	7007.976818181817
290	19.6	2.5	7323.4	7133.703181818182
288	19.6	2.0	7324.924848484848	5974.607272727274
289	19.6	2.25	7216.4800000000005	6504.971666666666
291	19.7	2.0	7026.185606060606	5888.412727272726
292	19.7	2.25	6862.921212121211	6718.246363636364
293	19.7	2.5	7217.009999999998	7198.922878787878
294	19.8	2.0	7189.670303030302	5463.092424242424
295	19.8	2.25	7195.322727272725	6405.84
296	19.8	2.5	7260.368484848485	7306.791212121211
297	19.9	2.0	7080.5027272727275	5870.578636363635
298	19.9	2.25	7120.379393939393	6383.171212121212
299	19.9	2.5	7283.219393939394	7246.501363636364
302	20.0	2.5	7297.112272727273	6884.226818181818
300	20.0	2.0	7145.393030303031	5951.200757575756
301	20.0	2.25	7215.595454545453	6436.341818181818
304	20.1	2.25	7024.677575757575	6851.767272727273
303	20.1	2.0	7136.858333333332	5789.818181818182
305	20.1	2.5	6966.0654545454545	7058.424242424243
306	20.2	1.0	6909.096666666665	3413.6463636363633
307	20.2	1.25	6877.978333333333	4171.483636363637
308	20.2	1.5	7037.715151515151	4640.2889393939395
309	20.2	2.0	7201.890909090907	5719.063636363636
310	20.2	2.25	7193.136363636363	6578.362424242424
311	20.2	2.5	7190.2300000000005	7263.076363636363
313	20.3	1.25	7029.482272727272	3866.6642424242423
314	20.3	1.5	6982.302727272727	4304.477272727273
315	20.3	2.0	7015.469090909091	6048.997575757575
316	20.3	2.25	7170.001515151515	6529.541666666668
317	20.3	2.5	7110.279545454544	7244.373181818183
312	20.3	1.0	6925.985303030302	3252.9600000000005
322	20.4	2.25	7230.704090909091	6434.200303030302
323	20.4	2.5	7300.325454545454	7385.881969696969
320	20.4	1.5	6999.552272727273	4679.663636363635
318	20.4	1.0	6996.962424242424	3265.7121212121215
321	20.4	2.0	7287.934999999999	5719.625454545456
319	20.4	1.25	6883.160909090909	3756.399090909091
324	20.5	1.0	6930.533333333332	3182.7959090909094
325	20.5	1.25	7048.034545454545	3935.945454545455
326	20.5	1.5	7012.16	4395.733484848485
327	20.5	2.0	7139.3890909090915	5484.45393939394
328	20.5	2.25	7266.060606060606	6348.701515151514
329	20.5	2.5	7307.703636363635	6982.726363636363
335	20.6	2.5	7110.194545454545	6769.54909090909
330	20.6	1.0	6886.191666666666	3572.6303030303025
331	20.6	1.25	6920.076666666666	3995.192727272726
332	20.6	1.5	7048.451212121211	4328.291212121212
333	20.6	2.0	7105.752727272727	6198.395454545454
334	20.6	2.25	7066.427272727273	6719.70090909091
336	20.7	1.0	6973.0393939393925	3295.5116666666668
