	Windspeed	STDeV	Leq_x	Leq_y	Leq_res
87	16.2	1.75	52308.408801091085	98572.47882819711	73676.50207395948
88	16.2	2.0	51902.992030066765	86623.73258416932	71855.8959630298
89	16.2	2.25	50595.71873759238	113605.4593147572	81218.26126269084
90	16.2	2.5	52576.97890677721	62072.817512575224	61858.46565869056
91	16.3	1.0	49381.884545100846	65442.090669299876	55334.135474580195
92	16.3	1.25	49998.73382659873	82928.25119593125	69619.05673661699
93	16.3	1.5	50640.59992679822	83294.46926486246	67897.76433094098
94	16.3	1.75	50911.46591206788	57480.494948546075	54491.14876424418
95	16.3	2.0	54302.56300892504	106950.16962141909	76552.13740355018
96	16.3	2.25	51497.77328859191	106436.315412845	82725.89341563913
97	16.3	2.5	55164.95900197201	99197.49676949561	84459.72019784845
98	16.4	1.0	49403.433646644655	71572.35610591034	61689.850809166885
99	16.4	1.25	49835.290188137056	76953.76197957958	61193.0148522094
100	16.4	1.5	49769.96463046832	69196.5705068309	60341.25461301555
101	16.4	1.75	50225.215468525574	70243.7793105126	60499.950978070716
102	16.4	2.0	50041.727026302535	80259.37657528667	73351.51714491128
103	16.4	2.25	51882.94357722962	102153.43256991671	81405.78781802904
104	16.4	2.5	52100.51409558602	96479.56310376071	73259.74965150544
111	16.5	2.5	50842.659873278455	89691.9143665951	69802.92004458743
109	16.5	2.0	51306.76579243699	73485.51008812507	61712.850821319465
110	16.5	2.25	54999.22847542849	96767.83355283545	84801.9782634405
107	16.5	1.5	49963.795148705234	80372.5728501354	60955.61656615321
106	16.5	1.25	49101.552627432975	73535.86219339896	58838.242235476835
105	16.5	1.0	48899.312365200174	57840.9657672239	53405.49521631726
108	16.5	1.75	50351.297783805036	65381.607461190244	62204.22804030103
112	16.6	1.0	49363.96715330937	67071.9598463289	61752.65798096773
113	16.6	1.25	49861.5039738118	83263.62950149432	62785.59208515508
114	16.6	1.5	50534.78146131089	87315.55508603941	72430.16907351043
115	16.6	1.75	50211.71332528646	51298.52999075218	52053.60374271851
116	16.6	2.0	51638.27551769594	76675.7755321787	64131.77221271147
117	16.6	2.25	51774.424813887956	75343.69616593164	59516.65996054486
118	16.6	2.5	51987.48032696818	61786.03845153581	58074.87393520965
119	16.7	1.0	49405.520345819525	81967.31476547863	66955.13169683295
120	16.7	1.25	49959.71869432633	60351.55733914561	55804.352645850835
121	16.7	1.5	50013.4140667167	53391.68376149903	51603.89024076393
122	16.7	1.75	50440.597555785855	72373.6298093253	60275.838293228895
123	16.7	2.0	51175.13053165034	80430.09359796441	62593.33754795572
124	16.7	2.25	53423.79245411777	89837.76041480039	62907.41971635426
125	16.7	2.5	51425.13967190185	94764.0994360023	75041.82356341637
126	16.8	1.0	49694.2011337118	88660.34099933703	71492.58079207722
127	16.8	1.25	50203.42032623137	81579.18578067563	67403.23324545125
131	16.8	2.25	52999.22553300054	68869.31966560509	60655.70088088871
130	16.8	2.0	50150.61802687753	85361.27043405469	68307.7815573664
129	16.8	1.75	50964.022062242024	95432.68824746157	70170.74341511521
132	16.8	2.5	52364.506463772996	61667.58611672454	60792.15952227745
128	16.8	1.5	50522.79007315453	86382.25807209582	72308.6429204287
135	16.9	1.5	50253.18278061852	86627.16402388482	65743.47719213773
133	16.9	1.0	49156.84554338646	75769.43908804386	62709.61916536454
134	16.9	1.25	49868.48450646973	72333.77405806846	64068.27742703721
136	16.9	1.75	50887.55760987282	97092.7184935194	70577.33614207216
137	16.9	2.0	51739.76948275269	76553.10146797824	63916.53598398326
138	16.9	2.25	50043.255803329674	77383.51508483756	71000.80251457705
139	16.9	2.5	57012.25150194634	103108.21339419256	86440.52553129899
140	17.0	1.0	48940.893670563644	88065.37467750517	69881.98696359046
141	17.0	1.25	49704.25215254916	86977.97284686867	69047.19870644515
142	17.0	1.5	50331.31209366833	92961.02630168367	69651.08528070543
143	17.0	1.75	49955.128686891694	80248.81874980447	68753.79529604681
145	17.0	2.25	25349.784301492888	57844.1316302715	62685.199981869075
146	17.0	2.5	52607.23362218848	75676.09861197305	63870.862390555936
144	17.0	2.0	51589.34913554115	89304.20027176717	63961.717079327755
151	17.1	2.0	51218.0073025898	74254.6465219108	61478.51877178212
147	17.1	1.0	48669.36993051353	92787.87294051035	69504.45350825248
150	17.1	1.75	50047.96414352771	98336.17240841867	72441.68474103302
149	17.1	1.5	49782.57913483001	91385.12812157758	72472.07484181717
148	17.1	1.25	49752.004524157914	89780.49565923617	74291.43951426884
152	17.1	2.25	20353.15333941786	55297.7861471555	55563.939765185336
153	17.1	2.5	54087.62165329868	77778.80724783277	58361.834676888815
156	17.2	1.5	49741.732984562346	74693.6937432628	59248.420206258976
157	17.2	1.75	49981.34629665827	91480.09684651223	60985.59748282143
158	17.2	2.0	51337.248455698544	92296.36947736952	70730.21734385306
159	17.2	2.25	51650.37075124775	82877.61891893687	72273.52243633805
154	17.2	1.0	48953.799656972056	83474.1406008087	70931.02704135503
155	17.2	1.25	50001.060168212556	91279.14160657354	69073.98067181613
160	17.2	2.5	50824.80190782083	93540.5316635395	68567.60171373766
164	17.3	1.75	50387.30118566711	83663.38311751814	64108.153443542804
162	17.3	1.25	49357.9794002516	75643.4316265444	62530.11249243962
161	17.3	1.0	48680.40439584831	93518.09658160649	70540.5319387375
166	17.3	2.25	50661.12078793981	91524.62984399447	77033.32300240805
165	17.3	2.0	50828.43419916194	87147.21056045091	63606.80961292404
167	17.3	2.5	52464.749323348646	62953.641831677356	58931.76008945843
163	17.3	1.5	49882.23672100137	83614.44764495816	63664.242760526045
170	17.4	1.5	50400.07087432989	76691.78582664065	66343.59804336286
173	17.4	2.25	51372.23894502018	71118.15131701749	64494.04664427623
171	17.4	1.75	50865.65420468947	90154.31847036666	72843.24512181238
174	17.4	2.5	51588.71201756165	95008.25114627765	74710.61208449859
168	17.4	1.0	48983.198807033725	84272.85519897226	70325.7070977243
169	17.4	1.25	49463.81339443922	75701.21041181512	61016.01378620491
172	17.4	2.0	50881.97218435822	87358.53733002288	70207.14322382242
177	17.5	1.5	50176.1215021079	84516.43459674716	70929.05361728562
181	17.5	2.5	52105.01286511628	61502.73219649238	59527.73441135707
179	17.5	2.0	51138.62700784358	78186.12362731188	57868.37163019805
175	17.5	1.0	48990.90769385403	65921.14146220252	56967.1857634368
180	17.5	2.25	51660.65247891954	82097.7326851539	74016.30591134011
178	17.5	1.75	52829.49767908747	98325.8613291763	75836.56324187786
176	17.5	1.25	51021.20865574363	84657.43866391206	68519.83137665613
186	17.6	2.0	50843.589760639836	87371.58489227989	68777.99325617008
185	17.6	1.75	51046.96217318667	71145.22697302884	62497.16713095854
188	17.6	2.5	58498.24080802476	106559.2393032388	88553.99509017289
182	17.6	1.0	48950.55284670087	86772.96654204429	63352.9963648735
184	17.6	1.5	49925.91082839962	77170.58004879848	63401.21738643118
187	17.6	2.25	52379.53412143315	108681.76637693924	72228.48053522481
183	17.6	1.25	49224.1806602079	82022.86479746696	64626.47724489156
193	17.7	2.0	50458.770259878984	76539.59700912923	64531.25336779209
194	17.7	2.25	54273.74029435871	119428.26257854473	88123.9973319467
195	17.7	2.5	52984.993585203905	100417.94647876399	72882.459192157
190	17.7	1.25	49621.14249297875	84095.85426492107	63723.266532180176
191	17.7	1.5	50298.4385237041	84534.70619998287	61356.51887491968
189	17.7	1.0	48899.85033190611	78747.67851165881	64867.50705387056
192	17.7	1.75	50304.7845062279	89761.9525427746	63522.55998276924
200	17.8	2.0	51674.219678680834	72565.31256696505	58957.34990018299
201	17.8	2.25	52363.06656073041	87440.26100699464	67220.63326485123
198	17.8	1.5	50319.471151976635	80839.74445771694	63741.81755986925
202	17.8	2.5	51037.0186784323	96322.20720408771	69257.1817574767
199	17.8	1.75	49907.093976271986	77129.18986482962	65282.014609168175
196	17.8	1.0	49431.862597441155	90240.53364229693	64804.480048004014
197	17.8	1.25	49926.42109224777	66992.70564183225	57593.88186067249
204	17.9	1.25	49888.463638663285	74174.24438193323	58506.68501921475
207	17.9	2.0	51694.27691621772	100846.44149027459	75284.44457909396
208	17.9	2.25	53704.76383931292	107751.26249012443	75853.60647345263
206	17.9	1.75	51530.63087058901	94920.18315099714	67030.2987927232
203	17.9	1.0	49672.41758507459	87025.05125840212	66012.58461332905
209	17.9	2.5	53087.65008857352	64368.16981447176	59436.194346442026
205	17.9	1.5	50414.05818746418	64286.40821172516	53401.39375894384
212	18.0	1.5	49818.10558216441	80390.20113951567	65188.51189122814
210	18.0	1.0	48956.28103020291	86195.55121898568	64426.1322483987
215	18.0	2.25	52495.593691307826	105402.6074261963	75819.16521015501
214	18.0	2.0	51835.72618727483	88592.05974605848	67392.06639226865
216	18.0	2.5	52101.20361628143	95177.73402013024	74507.65057339439
211	18.0	1.25	50108.3366926863	76420.7544612587	62843.61953692109
213	18.0	1.75	52707.543011030924	87926.0137394028	65368.195558675914
220	18.1	1.75	13388.306832991228	52693.80846310743	53159.0113060936
219	18.1	1.5	49568.44166043776	92717.1911327128	69043.8981682234
217	18.1	1.0	49984.92495829807	90999.90591778522	69216.38732793798
222	18.1	2.25	53095.66775822435	78878.7968876263	66131.38634346283
221	18.1	2.0	51121.00160551087	93060.15140211635	64477.00732573475
223	18.1	2.5	52200.63283316522	61377.960507461896	59307.63517616488
218	18.1	1.25	50012.32468178521	90154.34989972797	67156.08773683709
228	18.2	2.0	52269.8144311247	90045.73538540916	72596.13460666372
227	18.2	1.75	54993.26855728845	99721.78346909647	78382.82542419786
225	18.2	1.25	52034.60728896886	104294.44854761144	79759.3020654031
226	18.2	1.5	51603.509097120485	92769.46960330347	69679.56729597332
230	18.2	2.5	59761.85026631571	109777.04360042846	89517.68453761312
229	18.2	2.25	54934.81293225975	94855.28959631054	71003.91590968032
224	18.2	1.0	49673.52538600011	89276.16877114099	66113.68649642353
237	18.3	2.5	53276.12214688327	77826.2274945457	64815.6157723187
234	18.3	1.75	52794.32334296033	80266.02692814777	73993.88532102927
232	18.3	1.25	49876.406512496746	69952.38001038483	55773.66982012245
235	18.3	2.0	51756.624665132316	99493.91245993512	77917.99760354043
231	18.3	1.0	49158.58705803691	85369.59047841809	64874.78288555006
233	18.3	1.5	50704.55492208942	55395.22930767452	50591.41353498803
236	18.3	2.25	52815.48444044172	90548.78991978648	72513.92234475531
239	18.4	1.25	49995.07754740894	90309.82784773535	68651.99320734268
238	18.4	1.0	49065.93591778468	88763.40681766512	65010.80482367529
240	18.4	1.5	50571.75168715347	84050.45218573119	63098.46441339749
242	18.4	2.0	52920.57448472938	105358.42458144683	79597.81882045031
243	18.4	2.25	52521.25206005783	92947.83620573484	76135.97938353571
244	18.4	2.5	55567.90801740324	87020.75035477303	60763.48465635363
241	18.4	1.75	23096.327471070246	57382.86461843394	61409.17347957628
251	18.5	2.5	51342.7347337203	100529.47246915645	68366.90081637487
249	18.5	2.0	52491.70143935303	92033.55800597636	67784.43399593398
250	18.5	2.25	51649.684970839546	97180.53112777285	74202.05035737589
245	18.5	1.0	49533.076570649915	83271.39068812835	62809.170910192326
248	18.5	1.75	50737.09317878894	84775.23488439608	68314.25162394009
246	18.5	1.25	50204.35025235718	85160.77591303879	59868.66845451803
247	18.5	1.5	55701.326847151075	95327.96608348412	73776.02318658105
252	18.6	1.0	48800.29292067557	73922.491660131	63480.659058810634
254	18.6	1.5	50326.58692464082	80521.08230018061	64090.98360053513
